ROUTE_ID,ROUTE_SEQ,STOP_SEQ,STOP_ID,STOP_PICK_DROP,STOP_NAMEC,STOP_NAMES,STOP_NAMEE,LAST_UPDATE_DATE,ROUTE_NAMEC,Longitude,Latitude,COMPANY_CODE
1006,2,8,9219,3,"深水埗楓樹街/<br>楓樹街, 長沙灣道","深水埗枫树街/<br>枫树街, 长沙湾道","MAPLE STREET SHAM SHUI PO/<br>Maple Street, Cheung Sha Wan Road",08/06/25,102P,114.16518,22.33039,KMB+CTB
1006,2,9,211,3,"太子站,旺角花墟/<br>太子站, 彌敦道","太子站,旺角花墟/<br>太子站, 弥敦道","PRINCE EDWARD STATION, FLOWER MARKET/<br>Prince Edward Station, Nathan Road",08/06/25,102P,114.16762,22.32769,KMB+CTB
1006,2,10,212,3,"水渠道 聯合廣場/<br>聯合廣場, 彌敦道","水渠道 联合广场/<br>联合广场, 弥敦道","NULLAH ROAD, ALLIED PLAZA/<br>Allied Plaza, Nathan Road",08/06/25,102P,114.16801,22.32563,KMB+CTB
1006,2,11,7036,3,"旺角奶路臣街/<br>銀行中心, 彌敦道","旺角奶路臣街/<br>银行中心, 弥敦道","NELSON STREET MONG KOK/<br>Bank Centre, Nathan Road",08/06/25,102P,114.1691,22.32035,KMB+CTB
1006,2,12,744,3,"旺角登打士街/<br>登打士街, 彌敦道","旺角登打士街/<br>登打士街, 弥敦道","DUNDAS STREET MONG KOK/<br>Dundas Street, Nathan Road",08/06/25,102P,114.16974,22.31727,KMB+CTB
1006,2,13,745,3,"油麻地文明里/<br>文明里, 彌敦道","油麻地文明里/<br>文明里, 弥敦道","MAN MING LANE YAU MA TEI/<br>Man Ming Lane, Nathan Road",08/06/25,102P,114.17027,22.31463,KMB+CTB
1006,2,14,9012,3,"勞資審裁處/<br>勞資審裁處, 加士居道","劳资审裁处/<br>劳资审裁处, 加士居道","LABOUR TRIBUNAL/<br>Labour Tribunal, Gascoigne Road",08/06/25,102P,114.17195,22.31031,KMB+CTB
1006,2,15,775,3,"香港理工大學第八期/<br>香港理工大學第八期, 漆咸道北","香港理工大学第八期/<br>香港理工大学第八期, 漆咸道北","HONG KONG POLYTECHNIC UNIVERSITY PHASE 8/<br>Hong Kong Polytechnic University Phase 8, Chatham Road North",08/06/25,102P,114.17942,22.30874,KMB+CTB
1006,2,16,9014,3,紅隧轉車站/<br>海底隧道巴士轉乘站,红隧转车站/<br>海底隧道巴士转乘站,CROSS HARBOUR TUNNEL BBI/<br>Cross Harbour Tunnel Bus-Bus Interchange,08/06/25,102P,114.18032,22.30535,KMB+CTB
1006,2,17,3274,3,"北角消防局/<br>北角消防局, 渣華道","北角消防局/<br>北角消防局, 渣华道","NORTH POINT FIRE STATION/<br>North Point Fire Station, Java Road",08/06/25,102P,114.20745,22.29442,KMB+CTB
1006,2,18,146,3,"北角官立小學/<br>北角官立小學, 英皇道","北角官立小学/<br>北角官立小学, 英皇道","NORTH POINT GOVERNMENT PRIMARY SCHOOL/<br>North Point Government Primary School, King's Road",08/06/25,102P,114.2092,22.29138,KMB+CTB
1006,2,19,147,3,"新威園/<br>新威園, 英皇道","新威园/<br>新威园, 英皇道","SUNWAY GARDENS/<br>Sunway Gardens, King's Road",08/06/25,102P,114.2107,22.28799,KMB+CTB
1006,2,20,148,3,"船塢里/<br>船塢里, 英皇道","船坞里/<br>船坞里, 英皇道","SHIPYARD LANE/<br>Shipyard Lane, King's Road",08/06/25,102P,114.21348,22.28716,KMB+CTB
1006,2,21,180,3,"太古城中心/<br>太古城中心, 英皇道","太古城中心/<br>太古城中心, 英皇道","CITYPLAZA/<br>Cityplaza, King's Road",08/06/25,102P,114.21689,22.2877,KMB+CTB
1006,2,22,151,3,"太安樓/<br>太安樓, 筲箕灣道","太安楼/<br>太安楼, 筲箕湾道","TAI ON BUILDING/<br>Tai On Building, Shau Kei Wan Road",08/06/25,102P,114.22103,22.28498,KMB+CTB
1006,2,23,152,3,"海晏街/<br>海晏街, 筲箕灣道","海晏街/<br>海晏街, 筲箕湾道","HOI AN STREET/<br>Hoi An Street, Shau Kei Wan Road",08/06/25,102P,114.22296,22.2832,KMB+CTB
1006,2,24,3001,3,"愛秩序灣道/<br>愛秩序灣道, 筲箕灣道","爱秩序湾道/<br>爱秩序湾道, 筲箕湾道","ALDRICH BAY ROAD/<br>Aldrich Bay Road, Shau Kei Wan Road",08/06/25,102P,114.22468,22.2827,KMB+CTB
1006,2,25,12470,3,"愛賢街/<br>愛賢街, 愛秩序灣道","爱贤街/<br>爱贤街, 爱秩序湾道","OI YIN STREET/<br>Oi Yin Street, Aldrich Bay Road",08/06/25,102P,114.22666,22.28215,KMB+CTB
1006,2,26,550,1,筲箕灣巴士總站/<br>筲箕灣,筲箕湾巴士总站/<br>筲箕湾,SHAU KEI WAN BUS TERMINUS/<br>Shau Kei Wan,08/06/25,102P,114.22768,22.28082,KMB+CTB
1008,1,1,4001,2,竹園邨總站/<br>竹園邨,竹园邨总站/<br>竹园邨,CHUK YUEN ESTATE BUS TERMINUS/<br>Chuk Yuen Estate,07/25/23,103,114.19181,22.34751,KMB+CTB
1008,1,2,4002,3,"天虹小學/<br>浸信會天虹小學, 竹園道","天虹小学/<br>浸信会天虹小学, 竹园道","RAINBOW PRIMARY SCHOOL/<br>Baptist Rainbow Primary School, Chuk Yuen Road",07/25/23,103,114.18937,22.34722,KMB+CTB
1008,1,3,4003,3,"馬仔坑遊樂場/<br>馬仔坑遊樂場, 馬仔坑道","马仔坑游乐场/<br>马仔坑游乐场, 马仔坑道","MA CHAI HANG RECREATION GROUND/<br>Ma Chai Hang Recreation Ground, Ma Chai Hang Road",07/25/23,103,114.18714,22.34639,KMB+CTB
1008,1,4,1373,3,"宏業樓/<br>橫頭磡邨宏業樓, 富美街","宏业楼/<br>横头磡邨宏业楼, 富美街","WANG YIP HOUSE/<br>Wang Yip House Wang Tau Hom Estate, Fu Mei Street",07/25/23,103,114.18816,22.34269,KMB+CTB
1008,1,5,4218,3,樂富總站/<br>樂富邨,乐富总站/<br>乐富邨,LOK FU BUS TERMINUS/<br>Lok Fu Estate,07/25/23,103,114.18703,22.34126,KMB+CTB
1008,1,6,4221,3,"香港浸會大學/<br>浸會大學逸夫校園, 聯合道","香港浸会大学/<br>浸会大学逸夫校园, 联合道","H.K. BAPTIST UNIVERSITY/<br>HKBU Shaw Campus, Junction Road",07/25/23,103,114.18197,22.34136,KMB+CTB
1008,1,7,4223,3,"九龍塘聯合道/<br>聯合道, 窩打老道","九龙塘联合道/<br>联合道, 窝打老道","JUNCTION ROAD KOWLOON TONG/<br>Junction Road, Waterloo Road",07/25/23,103,114.17865,22.34007,KMB+CTB
1008,1,8,768,3,"九龍塘站/<br>九龍塘站, 窩打老道","九龙塘站/<br>九龙塘站, 窝打老道","KOWLOON TONG STATION/<br>Kowloon Tong Station, Waterloo Road",07/25/23,103,114.17849,22.33791,KMB+CTB
1008,1,9,4224,3,"龍濤花園/<br>龍濤花園, 窩打老道","龙涛花园/<br>龙涛花园, 窝打老道","LA VILLA/<br>La Villa, Waterloo Road",07/25/23,103,114.17824,22.33361,KMB+CTB
1008,1,10,770,3,"九龍醫院/<br>九龍醫院, 窩打老道","九龙医院/<br>九龙医院, 窝打老道","KOWLOON HOSPITAL/<br>Kowloon Hospital, Waterloo Road",07/25/23,103,114.17777,22.32579,KMB+CTB
